Date,Amounth,Reward,Reward Rate
2019-04-15,25.054794520547944,0.0547945205479452,10.0,
2019-05-15,25.26072433852505,0.20592981797710644,10.0,
2019-06-15,25.475267476742662,0.21454313821761004,10.0,
2019-07-15,25.68465323682548,0.20938576008281642,10.0,
2019-08-15,25.90279686705605,0.2181436302305726,10.0,
2019-09-15,26.12279322400913,0.2199963569530788,10.0,
2019-10-15,26.337501113521533,0.2147078895124038,10.0,
2019-11-15,26.561189479143223,0.22368836562168973,10.0,
2019-12-15,26.77950062554714,0.2183111464039169,10.0,
2020-01-15,27.00694295962713,0.22744233407998943,10.0,
2020-02-15,27.236316995722593,0.2293740360954633,10.0,
2020-03-15,27.452715130757102,0.21639813503450828,10.0,
2020-04-15,27.68587517707312,0.23316004631601925,10.0,
2020-05-15,27.91343031551482,0.2275551384416969,10.0,
2020-06-15,28.15050328531782,0.2370729698030026,10.0,
2020-07-15,28.381877284923174,0.231373999605352,10.0,
2020-08-15,28.62292884542526,0.24105156050208723,10.0,
2020-09-15,28.86602769315353,0.24309884772826934,10.0,
2020-10-15,29.103282715289037,0.23725502213550848,10.0,
2020-11-15,29.35046128081615,0.24717856552711237,10.0,
2020-12-15,29.591697948877652,0.2412366680615026,10.0,
2021-01-15,29.84302469858045,0.25132674970279656,10.0,
2021-02-15,30.096486004239626,0.25346130565917646,10.0,
2021-03-15,30.327363157148863,0.23087715290923552,10.0,
2021-04-15,30.518467089371992,0.19110393222312985,10.0,
